opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,582,185,2878,381
Bar,207772,11351,1895458,39971
Berane,3392,2572,4841,3695
Bijelo Polje,4178,1588,17159,4132
Budva,625938,46617,3011378,141510
Cetinje,5354,4242,28563,14323
Danilovgrad,3446,381,28536,712
Gusinje,1050,109,7117,279
Herceg Novi,331460,19387,2591362,181695
Kolašin,26180,9476,57701,24395
Kotor,192753,4200,1074829,12066
Mojkovac,4413,426,7517,922
Nikšić,9356,2723,18280,7994
Plav,399,3,5500,90
Pljevlja,3257,2510,7768,9953
Plužine,1288,71,2805,87
Podgorica,150786,17323,324228,36201
Rožaje,1540,201,12789,752
Šavnik,2015,164,6247,304
Tivat,133836,5212,1201315,15903
Tuzi,4060,7,4182,16
Ulcinj,287882,10713,1453483,43030
Žabljak,35466,8111,103654,22786
