opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,238,93,285,119
Bar,154171,11287,1203442,55058
Berane,1216,893,1610,1245
Bijelo Polje,1538,1331,2216,1746
Budva,668931,59510,4146313,322600
Cetinje,6559,3582,10448,18926
Danilovgrad,1393,143,2758,160
Herceg Novi,173337,38615,1368830,334993
Kolašin,18026,4667,36646,9766
Kotor,54241,2780,279207,14548
Mojkovac,1691,383,2117,767
Nikšić,5092,604,8716,1171
Plav,1422,585,2091,1290
Pljevlja,1821,1603,3675,4786
Plužine,1106,248,1840,466
Podgorica,59017,6119,99973,16559
Rožaje,875,550,2507,1369
Tivat,39961,5898,374141,18784
Ulcinj,118037,20982,838441,171165
Žabljak,15731,7730,28959,22210
