opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,220,273,232,356
Bar,164274,10828,1630468,43169
Berane,1615,1444,2947,1968
Bijelo Polje,5286,2546,19621,5148
Budva,821795,26648,4731639,92879
Cetinje,9296,11592,26759,36531
Danilovgrad,2912,132,13149,360
Herceg Novi,281203,13433,2203855,139815
Kolašin,26859,12421,70420,24025
Kotor,111785,1004,463455,3352
Mojkovac,1869,287,3143,555
Nikšić,7291,1524,17902,4454
Plav,2328,351,4510,703
Pljevlja,4233,2827,9529,7469
Plužine,4091,325,6194,527
Podgorica,131681,14514,228170,33049
Rožaje,1333,1026,1481,1193
Šavnik,852,52,949,56
Tivat,90379,6005,850213,19329
Ulcinj,179366,9731,1115200,53800
Žabljak,28544,5834,70296,14446
