opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Budva,634024,57630,3894306,304467
Herceg Novi,187546,41517,1474370,343064
Bar,143161,12609,1162514,63496
Ulcinj,103917,20645,757019,164930
Tivat,38033,6012,371373,18439
Kotor,52058,3993,284901,18999
Podgorica,47695,5194,89539,13336
Žabljak,16312,8788,30156,25542
Kolašin,16361,5341,31432,11416
Cetinje,6337,4600,10182,24707
Nikšić,6047,2092,13887,4392
Bijelo Polje,1927,1812,3911,5698
Pljevlja,2016,1192,4082,2592
Rožaje,1038,605,3214,2230
Mojkovac,2181,622,2884,1098
Danilovgrad,1769,158,3745,216
Plužine,1545,368,2607,858
Berane,992,1218,1386,1531
Plav,843,806,1063,1059
Andrijevica,361,135,436,159
