opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,33,139,37,209
Bar,173320,10096,1494031,38565
Berane,1074,920,1503,1249
Bijelo Polje,2028,3191,3567,5803
Budva,704608,66998,4527724,360217
Cetinje,5919,10365,9646,38022
Danilovgrad,1323,89,2082,111
Herceg Novi,250243,15177,2018242,148606
Kolašin,22323,6642,45179,14379
Kotor,73897,1110,354335,4274
Mojkovac,1268,260,1697,430
Nikšić,4671,1301,8472,3106
Plav,1357,639,2564,1189
Pljevlja,2160,1886,3480,5007
Plužine,3109,209,4035,250
Podgorica,74871,9207,132242,23168
Rožaje,786,786,1226,1102
Tivat,60748,6716,654968,23256
Ulcinj,155293,10867,1003672,60024
Žabljak,20893,6587,38669,18609
