opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,284,209,1347,311
Bar,179839,11413,1762734,47284
Berane,2974,2793,4875,4279
Bijelo Polje,4699,2229,19350,3674
Budva,857432,33794,4872645,106327
Cetinje,13396,10213,28731,32619
Danilovgrad,3194,298,12045,562
Herceg Novi,299370,14615,2595371,145868
Kolašin,34749,9837,71412,21086
Kotor,138265,1308,567216,4651
Mojkovac,3601,401,5737,911
Nikšić,9416,1959,18037,6110
Plav,1554,11,12120,141
Pljevlja,4981,3240,10995,7090
Plužine,3895,220,6051,336
Podgorica,155019,14871,251416,31341
Rožaje,1689,816,4682,917
Šavnik,1131,46,3532,92
Tivat,117091,6198,909435,17139
Ulcinj,207044,7395,1199995,40450
Žabljak,37180,6187,86084,15336
