opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,698,345,5342,440
Bar,200627,10162,1970822,39641
Berane,3519,3230,7563,4303
Bijelo Polje,4780,2381,17635,4114
Budva,877912,40751,4456565,136616
Cetinje,13489,12481,26883,38191
Danilovgrad,3579,218,15179,660
Gusinje,100,30,132,39
Herceg Novi,366995,16053,2942305,164686
Kolašin,45227,7591,83753,16207
Kotor,168430,2422,672684,7956
Mojkovac,4408,372,7566,652
Nikšić,14605,2001,24524,4392
Petnjica,165,0,589,0
Plav,1557,0,13605,0
Pljevlja,4938,2892,9432,5701
Plužine,4087,270,7489,411
Podgorica,170362,15845,276858,33735
Rožaje,2169,230,13449,374
Šavnik,1619,85,3672,138
Tivat,156229,4924,1151164,15928
Tuzi,2266,0,4869,0
Ulcinj,418812,6996,2124036,32411
Žabljak,43052,6313,97422,15787
