opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,118,86,967,578
Bar,24911,2998,373026,8897
Berane,704,1443,2365,3065
Bijelo Polje,914,748,3625,1447
Budva,127247,39148,568723,130406
Cetinje,833,3217,9369,13890
Danilovgrad,1247,295,13247,1670
Gusinje,46,0,512,0
Herceg Novi,47821,11268,457214,106769
Kolašin,10413,6980,24485,18114
Kotor,24266,2696,119851,6796
Mojkovac,283,85,727,176
Nikšić,2000,1287,5770,4826
Petnjica,18,3,66,3
Plav,202,22,3303,413
Pljevlja,1047,2215,4646,6100
Plužine,36,3,59,4
Podgorica,31425,8327,65394,17307
Rožaje,682,118,3949,397
Šavnik,102,4,1597,6
Tivat,33344,4380,317902,14144
Tuzi,2085,109,10392,869
Ulcinj,36349,3299,221623,13126
Žabljak,4702,4539,17714,11726
