opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,404,119,2097,468
Bar,145416,6999,1333030,27611
Berane,1890,1955,3193,2645
Bijelo Polje,3227,1116,12923,1944
Budva,522934,33613,2688528,105605
Cetinje,3529,3714,20895,12302
Danilovgrad,2113,129,24338,793
Gusinje,511,26,2159,66
Herceg Novi,238544,15130,2062831,131733
Kolašin,18083,11425,38096,29297
Kotor,129194,3848,669394,11334
Mojkovac,1660,232,3849,495
Nikšić,6173,1653,12586,3938
Petnjica,66,0,80,0
Plav,595,11,8909,97
Pljevlja,2678,2479,9819,9734
Plužine,940,179,1359,1653
Podgorica,83674,12049,169678,26934
Rožaje,876,147,11356,570
Šavnik,336,8,3344,65
Tivat,104253,4728,966322,15674
Tuzi,11,0,11,0
Ulcinj,260404,8739,1297125,39519
Žabljak,26047,9022,81881,26293
