zemlja_porijekla,dolasci,nocenja
Albanija,56206,214365
Austrija,18256,82940
Belgija,16189,72271
Bjelorusija,31211,223432
Bosna i Hercegovina,183690,1083048
Bugarska,10370,33872
Češka ,18858,121870
Danska,6342,31343
Estonija,3155,18590
Finska,9768,48791
Francuska,60865,292545
Grčka,6547,13893
Holandija,13856,65463
Hrvatska,28597,107328
Irska,3360,14266
Island,700,2497
Italija,35525,142410
Kipar,851,2692
Kosovo,46948,255117
Letonija,2514,15111
Litvanija,3815,20717
Luksemburg,1289,7440
Mađarska,27184,137272
Malta,518,1882
Makedonija,25486,157658
Norveška,10579,80387
Njemačka,57813,313748
Poljska,56061,292779
Portugalija,2071,6949
Rumunija,22605,102941
Rusija,350468,3059123
Slovačka,8597,51286
Slovenija,21571,89550
Srbija ,405426,2942858
Španija,6155,16741
Švajcarska (uključujući Lihtenštajn),14749,68557
Švedska,21560,130232
Turska,45947,94467
Ukrajina,57795,439255
Ujedinjeno Kraljevstvo,42360,210999
Ostale evropske zemlje,6921,26721
Južna Afrika,915,3806
Ostale afričke zemlje,2236,6304
Kanada,7158,29024
SAD,23842,79065
Ostale zemlje Sjeverne Amerike,1065,4416
Argentina,631,1545
Brazil,1668,3752
Čile,235,507
Ostale zemlje Južne i Srednje Amerike,2934,7863
Kina (uključujući Hong Kong),23495,33810
Japan,2971,6122
"Koreja, Republika",5844,7444
Izrael,30506,92145
Indija,1382,4495
Azerbejdžan,806,4287
Ostale azijske zemlje,18387,60248
Australija,7483,24139
Novi Zeland,1394,4146
Ostale zemlje Okeanije,1482,3608
