zemlja_porijekla,dolasci,nocenja
Albanija,79001,241918
Austrija,35001,139308
Belgija,30528,103850
Bjelorusija,20557,162228
Bosna i Hercegovina,203766,1185972
Bugarska,10341,30483
Češka,16137,97901
Danska,16166,45630
Estonija,4202,21394
Finska,23730,75967
Francuska,90083,436526
Grčka,7332,15346
Holandija,25633,89305
Hrvatska,39082,132139
Irska,9663,30685
Island,1013,4833
Italija,39692,133462
Kipar,1162,5390
Kosovo,169601,755246
Letonija,3847,22162
Litvanija,6595,37078
Luksemburg,2468,12292
Mađarska,32860,164509
Malta,1143,3349
Republika Sjeverna Makedonija,35250,186183
Norveška,23376,116263
Njemačka,163877,643651
Poljska,76620,396390
Portugalija,3638,12075
Rumunija,27731,99729
Ruska Federacija,384689,3470593
Slovačka,8652,52823
Slovenija,23821,95846
Srbija,402866,2988690
Španija,12440,31295
Švajcarska uključujući Lihtenštajn,25614,107747
Švedska,43486,165899
Turska,39984,124633
Ukrajina,57188,463551
Ujedinjeno Kraljevstvo,80876,422978
Ostale evropske zemlje,8515,38535
Južna Afrika,1211,7207
Ostale afričke zemlje,2891,12790
Kanada,10038,39885
SAD,35757,123387
Ostale zemlje Sjeverne Amerike,1016,3118
Argentina,1457,4205
Brazil,2489,6903
Čile,449,1246
Ostale zemlje Južne i Srednje Amerike,3151,12611
Kina (uključujući Hong Kong),74833,97726
Japan,2873,5020
"Koreja, Republika (Južna Koreja)",3338,5409
Izrael,40764,111978
Indija,2470,6110
Azerbejdžan,2535,16149
Ostale azijske zemlje,21430,69326
Australija,10020,33709
Novi Zeland,2072,7564
Ostale zemlje Okeanije,2605,5341
