zemlja_porijekla,dolasci,nocenja
Albanija,62852,187256
Austrija,27203,110731
Belgija,22345,80902
Bjelorusija,9740,86504
Bosna i Hercegovina,211314,1177370
Bugarska,6789,24747
Češka,13871,67310
Danska,6464,28603
Estonija,6727,40096
Finska,7350,31652
Francuska,75861,327928
Grčka,7227,18640
Holandija,22249,85896
Hrvatska,35052,145216
Irska,8192,35202
Island,1022,4941
Italija,24250,90938
Kipar,852,3735
Kosovo,111454,469651
Letonija,4348,26093
Litvanija,9813,53516
Luksemburg,2871,12673
Mađarska,31177,153424
Malta,779,2792
Republika Sjeverna Makedonija,30823,153546
Norveška,10672,69562
Njemačka,152038,703679
Poljska,62617,334115
Portugalija,3427,11096
Rumunija,19836,84378
Rusija,169726,1946067
Slovačka,8595,46306
Slovenija,22706,97822
Srbija,434949,3024926
Španija,12945,36510
Švajcarska uključujući Lihtenštajn,22879,98279
Švedska,15216,87490
Turska,43536,193391
Ukrajina,56667,581987
Ujedinjeno Kraljevstvo,75622,388490
Ostale evropske zemlje,7632,46099
Južna Afrika,3146,18763
Ostale afričke zemlje,4077,15632
Kanada,8698,48843
SAD,39087,163884
Ostale zemlje Sjeverne Amerike,904,3338
Argentina,752,3655
Brazil,2148,7975
Čile,385,1562
Ostale zemlje Južne i Srednje Amerike,3300,16872
Kina (uključujući Hong Kong),8256,19294
Japan,686,2342
"Koreja, Republika (Južna Koreja)",973,2567
Izrael,56042,186006
Indija,3360,9815
Azerbejdžan,2864,14650
Ujedinjeni Arapski Emirati,2302,6183
Ostale azijske zemlje,27486,124100
Australija,6902,32521
Novi Zeland,1528,8519
Ostale zemlje Okeanije,3819,11510
