,zemlja_porijekla,dolasci,nocenja
0,Albanija,38796,45939
1,Austrija,17023,17221
2,Belgija,11735,12016
3,Bjelorusija,35949,36424
4,Bosna i Hercegovina,178104,184787
5,Bugarska,9208,9935
6,Češka ,18138,18375
7,Danska,4448,4478
8,Estonija,1213,1232
9,Finska,5240,5335
10,Francuska,49219,49655
11,Grčka,6273,6626
12,Holandija,11754,11954
13,Hrvatska,26114,28569
14,Irska,2810,2900
15,Island,493,511
16,Italija,39626,41243
17,Kipar,433,441
18,Kosovo,38668,43740
19,Letonija,1047,1235
20,Litvanija,1934,1974
21,Luksemburg,1296,1345
22,Mađarska,19908,20162
23,Malta,258,269
24,Makedonija,24764,27163
25,Norveška,8487,8569
26,Njemačka,50577,51631
27,Poljska,52931,53341
28,Portugalija,2286,2305
29,Rumunija,21824,22209
30,Rusija,316826,335994
31,Slovačka,8016,8091
32,Slovenija,18418,19318
33,Srbija ,373325,389349
34,Španija,5126,5285
35,Švajcarska uključujući Lihtenštajn,13244,13564
36,Švedska,11288,11405
37,Turska,38919,40455
38,Ukrajina,58021,61737
39,Ujedinjeno Kraljevstvo,37464,38155
40,Ostale evropske zemlje,9849,10341
41, Južna Afrika,664,698
42,Ostale afričke zemlje,1674,1771
43,Kanada,6254,6603
44,SAD,18874,19878
45,Ostale zemlje Sjeverne Amerike,451,462
46,Argentina,471,474
47,Brazil,1443,1472
48,Čile,224,228
49,Ostale zemlje Južne i Srednje Amerike,2433,2615
50,Kina (uključujući Hong Kong),11894,12516
51,Japan,2853,2945
52,"Koreja, Republika",2127,2195
53,Izrael,19309,19423
54,Indija,1137,1243
55,Azerbejdžan,1370,1397
56,Ostale azijske zemlje,11067,12020
57,Australija,6103,6235
58,Novi Zeland,1260,1284
59,Ostale zemlje Okeanije,1461,1477
