zemlja_porijekla,dolasci,nocenja
Albanija,38049,148072
Austrija,1686,9781
Belgija,2609,6395
Bjelorusija,8546,62683
Bosna i Hercegovina,50082,338364
Bugarska,1064,6602
Češka,1331,7822
Danska,1944,4786
Estonija,346,3022
Finska,2159,3931
Francuska,9611,31988
Grčka,752,1922
Holandija,1365,7317
Hrvatska,7460,35987
Irska,701,3282
Island,46,262
Italija,2820,11599
Kipar,174,861
Kosovo,22675,129754
Letonija,325,3218
Litvanija,332,2521
Luksemburg,599,3251
Mađarska,2448,11749
Malta,128,965
Republika Sjeverna Makedonija,3167,22736
Norveška,445,3878
Njemačka,18206,74205
Poljska,7174,39465
Portugalija,300,1225
Rumunija,956,6664
Ruska Federacija,38757,394323
Slovačka,509,3233
Slovenija,2051,10902
Srbija,57990,450017
Španija,1081,3196
Švajcarska uključujući Lihtenštajn,1826,10599
Švedska,3461,11545
Turska,12404,56042
Ukrajina,22950,189699
Ujedinjeno Kraljevstvo,7748,37503
Ostale evropske zemlje,1216,5304
Južna Afrika,195,2407
Ostale afričke zemlje,535,6300
Kanada,755,5939
SAD,3755,22092
Ostale zemlje Sjeverne Amerike,53,150
Argentina,67,353
Brazil,220,739
Čile,46,251
Ostale zemlje Južne i Srednje Amerike,379,2983
Kina (uključujući Hong Kong),3060,6143
Japan,298,1239
"Koreja, Republika (Južna Koreja)",199,767
Izrael,558,3760
Indija,147,593
Azerbejdžan,643,3659
Ujedinjeni Arapski Emirati,106,327
Ostale azijske zemlje,1633,6750
Australija,458,3496
Novi Zeland,103,1311
Ostale zemlje Okeanije,92,597
