,zemlja_porijekla,dolasci,nocenja
0,Albanija,37547,45976
1,Austrija,17189,17427
2,Belgija,11213,11341
3,Bjelorusija,31940,32322
4,Bosna i Hercegovina,154017,162633
5,Bugarska,6879,7428
6,Češka ,19864,20125
7,Danska,4136,4149
8,Estonija,874,877
9,Finska,5098,5197
10,Francuska,45701,46099
11,Grčka,4539,4801
12,Holandija,7548,7654
13,Hrvatska,24007,26653
14,Irska,3088,3134
15,Island,397,397
16,Italija,38247,40254
17,Kipar,747,750
18,Kosovo,44904,47697
19,Letonija,907,976
20,Litvanija,1781,1793
21,Luksemburg,1156,1174
22,Mađarska,20327,20604
23,Malta,257,263
24,Makedonija,23154,24627
25,Norveška,7986,8020
26,Njemačka,49284,50049
27,Poljska,50535,50676
28,Portugalija,1578,1597
29,Rumunija,19244,19411
30,Rusija,298385,312885
31,Slovačka,5822,5877
32,Slovenija,19533,20323
33,Srbija ,372912,385200
34,Španija,4127,4232
35,Švajcarska uključujući Lihtenštajn,14144,14366
36,Švedska,13316,13438
37,Turska,26960,27999
38,Ukrajina,58277,60131
39,Ujedinjeno Kraljevstvo,29950,30567
40,Ostale evropske zemlje,6456,6737
41, Južna Afrika,466,491
42,Ostale afričke zemlje,1415,1559
43,Kanada,5507,5793
44,SAD,16560,17350
45,Ostale zemlje Sjeverne Amerike,456,458
46,Argentina,358,367
47,Brazil,1224,1345
48,Čile,172,178
49,Ostale zemlje Južne i Srednje Amerike,2007,2061
50,Kina (uključujući Hong Kong),13362,14012
51,Japan,2495,2652
52,"Koreja, Republika",2906,2948
53,Izrael,9802,9897
54,Indija,1046,1087
55,Azerbejdžan,2492,2538
56,Ostale azijske zemlje,8101,8526
57,Australija,5287,5504
58,Novi Zeland,949,967
59,Ostale zemlje Okeanije,1293,1338
