,zemlja_porijekla,dolasci,nocenja
0,Albanija,30129,111230
1,Austrija,13780,55068
2,Belgija,8853,40552
3,Bjelorusija,30918,228050
4,Bosna i Hercegovina,91711,641472
5,Bugarska,6050,21569
6,Češka ,25810,163789
7,Danska,4002,19736
8,Estonija,825,4438
9,Finska,3880,16529
10,Francuska,41813,209093
11,Grčka,5834,13220
12,Holandija,5440,27148
13,Hrvatska,22414,89810
14,Irska,3396,17637
15,Island,517,1720
16,Italija,34204,146437
17,Kipar,667,1745
18,Kosovo,38061,253164
19,Letonija,1573,10383
20,Litvanija,4622,29942
21,Luksemburg,855,4690
22,Mađarska,17444,89573
23,Malta,177,519
24,Makedonija,16492,137291
25,Norveška,8573,56679
26,Njemačka,33014,176553
27,Poljska,50356,227784
28,Portugalija,1330,5642
29,Rumunija,16112,81033
30,Rusija,318375,2581349
31,Slovačka,6028,33740
32,Slovenija,16794,60126
33,Srbija ,287620,2061170
34,Španija,3023,8064
35,Švajcarska uključujući Lihtenštajn,8749,40639
36,Švedska,9486,50275
37,Turska,21046,40006
38,Ukrajina,65185,497821
39,Ujedinjeno Kraljevstvo,24313,114483
40,Ostale evropske zemlje,10285,46697
41,Južna Afrika,577,1401
42,Ostale afričke zemlje,782,2287
43,Kanada,3920,13267
44,SAD,12420,41986
45,Ostale zemlje Sjeverne Amerike,733,1668
46,Argentina,181,422
47,Brazil,1151,2413
48,Čile,65,120
49,Ostale zemlje Južne i Srednje Amerike,1904,8580
50,Kina (uključujući Hong Kong),7932,14432
51,Japan,3166,6486
52,"Koreja, Republika",2153,2618
53,Izrael,7624,17286
54,Indija,1131,2866
55,Azerbejdžan,4146,21226
56,Ostale azijske zemlje,6634,20377
57,Australija,4078,17486
58,Novi Zeland,651,1557
59,Ostale zemlje Okeanije,1293,3312
