zemlja_porijekla,dolasci,nocenja
Albanija,56547,177831
Austrija,13660,66246
Belgija,10808,42419
Bjelorusija,5503,43540
Bosna i Hercegovina,214570,1217931
Bugarska,3425,15634
Češka,6914,35541
Danska,3223,17214
Estonija,4095,25543
Finska,2213,9512
Francuska,35985,151369
Grčka,2215,8517
Holandija,10059,43185
Hrvatska,20221,92119
Irska,1771,10217
Island,223,1936
Italija,9910,43191
Kipar,662,2559
Kosovo,107111,450265
Letonija,2501,15601
Litvanija,6184,33028
Luksemburg,2336,11755
Mađarska,23745,115983
Malta,946,1839
Republika Sjeverna Makedonija,27965,157177
Norveška,2604,15160
Njemačka,70653,374868
Poljska,40776,217170
Portugalija,1639,5167
Rumunija,13281,61621
Rusija,108025,1140173
Slovačka,3000,16418
Slovenija,11748,57613
Srbija,429106,3072845
Španija,6227,19284
Švajcarska uključujući Lihtenštajn,16866,76266
Švedska,8863,55076
Turska,26225,112820
Ukrajina,135997,871314
Ujedinjeno Kraljevstvo,13954,98430
Ostale evropske zemlje,8175,44773
Južna Afrika,1609,15026
Ostale afričke zemlje,2228,14483
Kanada,3765,23687
SAD,20057,93582
Ostale zemlje Sjeverne Amerike,480,2075
Argentina,499,2478
Brazil,1241,5028
Čile,223,1136
Ostale zemlje Južne i Srednje Amerike,1929,10952
Kina (uključujući Hong Kong),2081,6201
Japan,312,1179
"Koreja, Republika (Južna Koreja)",296,771
Izrael,21227,67759
Indija,2042,7378
Azerbejdžan,1391,7509
Ujedinjeni Arapski Emirati,1252,4088
Ostale azijske zemlje,20095,113346
Australija,1563,9130
Novi Zeland,578,4575
Ostale zemlje Okeanije,759,4270
