tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
 Hotel,823004,73868,2919505,202372
 Garni hotel,47033,4285,127194,13904
 Mali hotel,150869,13384,386509,33820
 Boutique hotel,27201,1036,76881,2382
 Apart hotel,14225,1266,65377,3810
 Turističko naselje,56165,3215,341310,15025
 Motel,678,106,841,108
 Gostionica,783,0,968,0
 Pansion i vila,3331,910,23976,5696
 Kamp,7487,157,33079,591
 Hostel,15275,370,48643,1861
 Etno selo,3432,281,6875,427
Odmaralište i lječilište,18485,26343,169421,200212
Individualni turistički smještaj,1341657,10371,9732959,42174
