,tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
0,Hoteli,453115,70256,2058011,232478
1,Apart hoteli,9098,197,55140,660
2,Pansioni,7307,464,56223,3476
3,Moteli,681,627,1036,810
4,Turistička naselja,62819,2842,395712,13309
5,Turistički apartmani,13,27,41,81
6,Gostionica ,56,0,240,0
7,Banjsko lječilište,6564,7450,75952,108498
8,Odmarališta,15719,5070,104590,33877
9, Kampovi,7421,393,24995,940
10, Vile,591,0,5817,0
11,Prenoćišta (hosteli),581,0,1014,0
12,Individualni turistički smještaj,700198,88011,5364236,614100
