tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
 Hotel,138402,59270,459957,175892
 Garni hotel,5937,1519,17349,3422
 Mali hotel,21469,11474,60170,30186
 Boutique hotel,8496,1675,29427,4845
 Apart hotel,1021,392,6239,1444
 Turističko naselje,2965,2268,17028,9142
 Motel,73,22,110,22
 Gostionica,36,3,59,4
 Pansion i vila,132,56,2030,552
 Kamp,206,346,953,877
 Hostel,107,0,203,0
Odmaralište i lječilište,1427,11582,8282,116249
Individualni turistički smještaj,170524,4663,1624719,18094
