tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
 Hotel,425348,63821,1794296,181416
 Garni hotel,26686,3461,88218,9836
 Mali hotel,86226,14383,261122,38722
 Boutique hotel,25389,1871,82106,4704
 Apart hotel,7684,438,42660,1827
 Turističko naselje,32970,3714,185472,15521
 Motel,219,18,249,18
 Gostionica,390,0,460,0
 Pansion ,1276,58,6781,661
 Kamp,9034,93,25563,344
 Hostel,6773,214,22223,543
Etno selo,634,123,1528,171
Odmaralište i lječilište,7179,12421,62032,122367
Individualni turistički smještaj,923750,16706,6851093,72640
