tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
 Hotel,719046,93091,2731396,264612
 Garni hotel,45048,3661,129415,8318
 Mali hotel,130198,16887,356239,46803
 Boutique hotel,47742,2415,128139,4465
 Apart hotel,7733,581,39405,2348
 Turističko naselje,41159,4607,205053,17244
 Motel,433,172,462,610
 Gostionica i pansion ,1775,43,9996,204
 Kamp,10155,143,38085,569
 Hostel,7060,1069,27042,5844
Etno selo,1794,117,4346,174
Odmaralište i lječilište,13499,17547,117659,177266
Individualni turistički smještaj,1010761,7239,8080353,32740
