tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Hotel,637062,72533,2512360,209332
Garni hotel,37098,3204,106474,10057
Mali hotel,133581,12470,347229,29211
Boutique hotel,28664,1916,66104,2791
Apart hotel,12201,1012,59142,4036
Turističko naselje,59554,3354,376515,13999
Motel,523,120,748,120
Gostionica,605,0,734,0
Pansion,4598,364,32136,2756
Kamp,7847,141,31479,555
Etno selo,1875,176,3878,264
Eco lodge,138,0,151,0
Odmaralište,10419,12849,80667,46734
Hostel,14969,357,46514,1934
Lječilište,9987,9231,99726,123309
Individualni turistički smještaj,1117682,10326,8679953,41426
